,Score
647,6.726
265,4.754
111,4.677
301,3.763
339,6.57800006866455
605,4.141
625,2.905
202,6.078
704,5.373
678,5.94
223,5.648
762,4.166
695,5.603
233,5.44
446,4.09600019454956
19,6.901
746,4.509
505,6.31
526,5.875
483,6.977
419,4.71400022506714
120,4.514
47,5.975
700,5.432
224,5.615
621,3.355
723,4.996
435,4.37599992752075
767,3.973
81,5.192
159,7.509
591,4.419
648,6.595
437,4.29199981689453
541,5.504
207,5.977
510,6.141
685,5.809
559,5.161
403,5.19500017166138
134,4.194
639,7.09
778,3.231
449,4.02799987792969
318,7.49399995803833
673,6.07
463,3.50699996948242
8,7.286
455,3.79399991035461
696,5.529
415,4.8289999961853
289,4.156
135,4.077
732,4.719
148,3.667
769,3.802
693,5.648
545,5.43
101,4.857
595,4.356
59,5.791
577,4.657
309,3.515
60,5.77
154,3.34
205,5.992
16,6.946
90,5.057
492,6.489
194,6.361
597,4.34
335,6.64799976348877
56,5.828
85,5.124
84,5.129
117,4.55
495,6.441
23,6.798
496,6.43
69,5.548
552,5.302
568,4.975
658,6.293
242,5.185
404,5.18200016021729
245,5.161
443,4.16800022125244
185,6.573
527,5.835
307,3.622
241,5.196
294,3.974
320,7.3769998550415
50,5.89
346,6.42399978637695
641,7.021
457,3.65700006484985
218,5.802
724,4.944
49,5.948
216,5.822
710,5.265
268,4.635
201,6.084
286,4.217
448,4.03200006484985
189,6.478
624,3.083
481,7.139
61,5.759
691,5.693
323,7.28399991989136
525,5.89
600,4.301
3,7.522
551,5.321
363,5.96299982070923
698,5.523
274,4.415
65,5.695
408,5.07399988174438
175,6.929
181,6.705
104,4.788
389,5.32399988174438
626,7.769
57,5.824
314,2.905
428,4.54500007629395
576,4.671
737,4.668
427,4.55000019073486
392,5.27899980545044
760,4.212
368,5.84999990463257
187,6.488
350,6.35699987411499
35,6.329
421,4.69500017166138
513,6.096
41,6.13
388,5.33599996566772
722,5.011
579,4.623
108,4.694
779,3.203
672,6.086
0,7.587
611,3.795
74,5.36
334,6.65199995040894
66,5.689
257,4.996
512,6.105
473,7.495
358,6.00799989700317
161,7.498
